time_sec,q0,q1,q2,q3,q4,q5,tau0,tau1,tau2,tau3,tau4,tau5
1.16,-0.614947,-1.75984,2.32715,-1.55987,-3.83191,3.32495,nan,nan,nan,nan,nan,nan
1.17,-0.61446,-1.75985,2.32671,-1.55987,-3.83163,3.32435,nan,nan,nan,nan,nan,nan
1.18,-0.613998,-1.75985,2.32629,-1.55988,-3.83136,3.32377,nan,nan,nan,nan,nan,nan
1.19,-0.613558,-1.75986,2.3259,-1.55989,-3.8311,3.32322,nan,nan,nan,nan,nan,nan
1.2,-0.613141,-1.75986,2.32552,-1.55989,-3.83086,3.3227,nan,nan,nan,nan,nan,nan
1.21,-0.612743,-1.75986,2.32516,-1.5599,-3.83063,3.32221,nan,nan,nan,nan,nan,nan
1.22,-0.612366,-1.75987,2.32482,-1.55991,-3.83041,3.32173,nan,nan,nan,nan,nan,nan
1.23,-0.612007,-1.75987,2.3245,-1.55991,-3.8302,3.32129,nan,nan,nan,nan,nan,nan
1.24,-0.611666,-1.75987,2.32419,-1.55992,-3.83,3.32086,nan,nan,nan,nan,nan,nan
1.25,-0.611341,-1.75988,2.3239,-1.55992,-3.82981,3.32046,nan,nan,nan,nan,nan,nan
1.26,-0.611033,-1.75988,2.32362,-1.55992,-3.82963,3.32007,nan,nan,nan,nan,nan,nan
1.27,-0.61074,-1.75988,2.32335,-1.55993,-3.82946,3.31971,nan,nan,nan,nan,nan,nan
1.28,-0.610462,-1.75988,2.3231,-1.55993,-3.82929,3.31936,nan,nan,nan,nan,nan,nan
1.29,-0.610197,-1.75988,2.32286,-1.55993,-3.82914,3.31903,nan,nan,nan,nan,nan,nan
1.3,-0.609945,-1.75988,2.32264,-1.55994,-3.82899,3.31871,nan,nan,nan,nan,nan,nan
1.31,-0.609706,-1.75989,2.32242,-1.55994,-3.82885,3.31842,nan,nan,nan,nan,nan,nan
1.32,-0.609478,-1.75989,2.32222,-1.55994,-3.82872,3.31813,nan,nan,nan,nan,nan,nan
1.33,-0.609262,-1.75989,2.32202,-1.55994,-3.82859,3.31786,nan,nan,nan,nan,nan,nan
1.34,-0.609057,-1.75989,2.32184,-1.55995,-3.82847,3.3176,nan,nan,nan,nan,nan,nan
1.35,-0.608861,-1.75989,2.32166,-1.55995,-3.82836,3.31736,nan,nan,nan,nan,nan,nan
1.36,-0.608676,-1.75989,2.32149,-1.55995,-3.82825,3.31713,nan,nan,nan,nan,nan,nan
1.37,-0.608499,-1.75989,2.32133,-1.55995,-3.82815,3.31691,nan,nan,nan,nan,nan,nan
1.38,-0.608331,-1.75989,2.32118,-1.55995,-3.82805,3.3167,nan,nan,nan,nan,nan,nan
1.39,-0.608172,-1.75989,2.32104,-1.55996,-3.82795,3.3165,nan,nan,nan,nan,nan,nan
1.4,-0.60802,-1.75989,2.3209,-1.55996,-3.82786,3.31631,nan,nan,nan,nan,nan,nan
1.41,-0.607876,-1.75989,2.32077,-1.55996,-3.82778,3.31613,nan,nan,nan,nan,nan,nan
1.42,-0.607739,-1.75989,2.32065,-1.55996,-3.8277,3.31596,nan,nan,nan,nan,nan,nan
1.43,-0.607609,-1.75989,2.32053,-1.55996,-3.82762,3.31579,nan,nan,nan,nan,nan,nan
1.44,-0.607485,-1.75989,2.32042,-1.55996,-3.82755,3.31564,nan,nan,nan,nan,nan,nan
1.45,-0.607367,-1.75989,2.32032,-1.55996,-3.82748,3.31549,nan,nan,nan,nan,nan,nan
1.46,-0.607255,-1.75989,2.32022,-1.55996,-3.82741,3.31535,nan,nan,nan,nan,nan,nan
1.47,-0.607149,-1.75989,2.32012,-1.55997,-3.82735,3.31522,nan,nan,nan,nan,nan,nan
1.48,-0.607048,-1.75989,2.32003,-1.55997,-3.82729,3.31509,nan,nan,nan,nan,nan,nan
1.49,-0.606952,-1.75989,2.31994,-1.55997,-3.82724,3.31497,nan,nan,nan,nan,nan,nan
1.5,-0.60686,-1.75989,2.31986,-1.55997,-3.82718,3.31486,nan,nan,nan,nan,nan,nan
1.51,-0.606773,-1.75989,2.31978,-1.55997,-3.82713,3.31475,nan,nan,nan,nan,nan,nan
1.52,-0.606691,-1.75989,2.31971,-1.55997,-3.82708,3.31465,nan,nan,nan,nan,nan,nan
1.53,-0.606612,-1.75989,2.31964,-1.55997,-3.82704,3.31455,nan,nan,nan,nan,nan,nan
1.54,-0.606538,-1.75989,2.31957,-1.55997,-3.82699,3.31445,nan,nan,nan,nan,nan,nan
1.55,-0.606467,-1.75989,2.31951,-1.55997,-3.82695,3.31436,nan,nan,nan,nan,nan,nan
1.56,-0.606399,-1.75989,2.31945,-1.55997,-3.82691,3.31428,nan,nan,nan,nan,nan,nan
1.57,-0.606335,-1.75989,2.31939,-1.55997,-3.82687,3.3142,nan,nan,nan,nan,nan,nan
1.58,-0.606274,-1.75989,2.31934,-1.55997,-3.82684,3.31412,nan,nan,nan,nan,nan,nan
1.59,-0.606217,-1.75989,2.31928,-1.55997,-3.8268,3.31405,nan,nan,nan,nan,nan,nan
1.6,-0.606162,-1.75989,2.31923,-1.55997,-3.82677,3.31398,nan,nan,nan,nan,nan,nan
1.61,-0.606109,-1.75989,2.31919,-1.55997,-3.82674,3.31392,nan,nan,nan,nan,nan,nan
1.62,-0.606059,-1.75989,2.31914,-1.55997,-3.82671,3.31385,nan,nan,nan,nan,nan,nan
1.63,-0.606012,-1.75989,2.3191,-1.55997,-3.82668,3.31379,nan,nan,nan,nan,nan,nan
1.64,-0.605967,-1.75989,2.31906,-1.55997,-3.82665,3.31374,nan,nan,nan,nan,nan,nan
1.65,-0.605925,-1.75989,2.31902,-1.55997,-3.82663,3.31368,nan,nan,nan,nan,nan,nan
1.66,-0.605884,-1.75989,2.31899,-1.55997,-3.8266,3.31363,nan,nan,nan,nan,nan,nan
1.67,-0.605845,-1.75989,2.31895,-1.55997,-3.82658,3.31358,nan,nan,nan,nan,nan,nan
1.68,-0.605809,-1.75989,2.31892,-1.55997,-3.82656,3.31354,nan,nan,nan,nan,nan,nan
1.69,-0.605774,-1.75988,2.31889,-1.55997,-3.82654,3.31349,nan,nan,nan,nan,nan,nan
1.7,-0.605741,-1.75988,2.31886,-1.55997,-3.82652,3.31345,nan,nan,nan,nan,nan,nan
1.71,-0.605709,-1.75988,2.31883,-1.55997,-3.8265,3.31341,nan,nan,nan,nan,nan,nan
1.72,-0.605679,-1.75988,2.3188,-1.55997,-3.82648,3.31338,nan,nan,nan,nan,nan,nan
1.73,-0.605651,-1.75988,2.31878,-1.55997,-3.82647,3.31334,nan,nan,nan,nan,nan,nan
1.74,-0.605624,-1.75988,2.31875,-1.55997,-3.82645,3.31331,nan,nan,nan,nan,nan,nan
1.75,-0.605598,-1.75988,2.31873,-1.55997,-3.82643,3.31327,nan,nan,nan,nan,nan,nan
1.76,-0.605573,-1.75988,2.31871,-1.55997,-3.82642,3.31324,nan,nan,nan,nan,nan,nan
1.77,-0.60555,-1.75988,2.31869,-1.55997,-3.82641,3.31321,nan,nan,nan,nan,nan,nan
1.78,-0.605528,-1.75988,2.31867,-1.55997,-3.82639,3.31319,nan,nan,nan,nan,nan,nan
1.79,-0.605507,-1.75988,2.31865,-1.55997,-3.82638,3.31316,nan,nan,nan,nan,nan,nan
1.8,-0.605487,-1.75988,2.31863,-1.55997,-3.82637,3.31313,nan,nan,nan,nan,nan,nan
1.81,-0.605468,-1.75988,2.31861,-1.55997,-3.82636,3.31311,nan,nan,nan,nan,nan,nan
1.82,-0.60545,-1.75988,2.3186,-1.55997,-3.82635,3.31309,nan,nan,nan,nan,nan,nan
1.83,-0.605433,-1.75988,2.31858,-1.55997,-3.82634,3.31307,nan,nan,nan,nan,nan,nan
1.84,-0.605417,-1.75988,2.31857,-1.55997,-3.82633,3.31304,nan,nan,nan,nan,nan,nan
1.85,-0.605401,-1.75988,2.31855,-1.55997,-3.82632,3.31303,nan,nan,nan,nan,nan,nan
1.86,-0.605386,-1.75988,2.31854,-1.55997,-3.82631,3.31301,nan,nan,nan,nan,nan,nan
1.87,-0.605372,-1.75988,2.31853,-1.55997,-3.8263,3.31299,nan,nan,nan,nan,nan,nan
1.88,-0.605359,-1.75988,2.31852,-1.55997,-3.82629,3.31297,nan,nan,nan,nan,nan,nan
1.89,-0.605346,-1.75988,2.31851,-1.55997,-3.82628,3.31296,nan,nan,nan,nan,nan,nan
1.9,-0.605334,-1.75988,2.31849,-1.55997,-3.82628,3.31294,nan,nan,nan,nan,nan,nan
1.91,-0.605323,-1.75988,2.31848,-1.55997,-3.82627,3.31293,nan,nan,nan,nan,nan,nan
1.92,-0.605312,-1.75988,2.31847,-1.55997,-3.82626,3.31291,nan,nan,nan,nan,nan,nan
1.93,-0.605302,-1.75988,2.31847,-1.55997,-3.82626,3.3129,nan,nan,nan,nan,nan,nan
1.94,-0.605292,-1.75988,2.31846,-1.55997,-3.82625,3.31289,nan,nan,nan,nan,nan,nan
1.95,-0.605282,-1.75988,2.31845,-1.55997,-3.82625,3.31288,nan,nan,nan,nan,nan,nan
1.96,-0.605274,-1.75988,2.31844,-1.55997,-3.82624,3.31286,nan,nan,nan,nan,nan,nan
